Id,Edit status,Owner,Group type,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Article Title,Content Type,Keywords,Included in phase 1?,Included in phase 2,Help docs scope (needs further discussion),Changes to existing doc (if applicable),Document change type,Existing content link (if applicable),Content dimensions,Group description (if applicable),Doc description (if applicable),User research validation,Primary targetted personas
246,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Sign in with password and email,,Sign in with password and email,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,"'- Sign in with password and email factors: https://developer.okta.com/docs/guides/oie-embedded-sdk-use-case-sign-in-pwd-email/android/main/
- Sign in to your SPA with Auth JS: https://developer.okta.com/docs/guides/sign-in-to-spa-authjs/angular/main/ (Add lang and/or tech dimensions)",Language,,,,"WIC App Developer,Experienced IAM developer"
245,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Sign in with password and phone,,Sign in with password and phone,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,"'- Sign in with password and phone factors: https://developer.okta.com/docs/guides/oie-embedded-sdk-use-case-sign-in-pwd-phone/android/main/
- Sign in to your SPA with Auth JS: https://developer.okta.com/docs/guides/sign-in-to-spa-authjs/angular/main/ (Add lang and/or tech dimensions)
",Language,,,,"WIC App Developer,Experienced IAM developer"
244,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Sign out user (local app only),,Sign out user (local app only),Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers","- Update title
- Technically, this sign out could go under the Logout group but the desire was to keep as much as possible all the SDKs docs in one space.",Existing doc: changes needed,"'- User sign out (local app): https://developer.okta.com/docs/guides/oie-embedded-sdk-use-case-basic-sign-out/android/main/
- Sign in to your SPA with Auth JS: https://developer.okta.com/docs/guides/sign-in-to-spa-authjs/angular/main/ (Add lang and/or tech dimensions)",Language,,,,"WIC App Developer,Experienced IAM developer"
257,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Add an authenticator ,,Add an authenticator ,Guide Hub,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Authenticators overview: https://developer.okta.com/docs/guides/authenticators-overview/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
260,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Add an authenticator ,Okta Email,Add the Okta email authenticator ,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,'- Okta email (magic link/OTP) integration guide: https://developer.okta.com/docs/guides/authenticators-okta-email/aspnet/main/,Language,,,,"WIC App Developer,Experienced IAM developer"
259,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Add an authenticator ,Okta Verify,Add the Okta Verify authenticator ,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,'- Okta Verify (Push/OTP) integration guide: https://developer.okta.com/docs/guides/authenticators-okta-verify/aspnet/main/,Language,,,,"WIC App Developer,Experienced IAM developer"
258,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Add an authenticator ,Custom authenticator,Add the Custom authenticator ,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Custom authenticator integration guide: https://developer.okta.com/docs/guides/authenticators-custom-authenticator/android/main/,Language,,,,"WIC App Developer,Experienced IAM developer"
261,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Add an authenticator ,Google authenticator,Add the Google authenticator ,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Google Authenticator integration guide: https://developer.okta.com/docs/guides/authenticators-google-authenticator/aspnet/main/,Language,,,,"WIC App Developer,Experienced IAM developer"
262,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded SDK (fully customizable),Add an authenticator ,Web Authentication,Add Web Authentication ,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Web Authentication integration guide: https://developer.okta.com/docs/guides/authenticators-web-authn/aspnet/main/,Language,,,,"WIC App Developer,Experienced IAM developer"
269,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded mobile SDK (fully customizable),,,Add the embedded mobile SDK (fully customizable),Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
272,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Add the embedded mobile SDK (fully customizable),Integrate all sign-in flows,,Integrate all sign-in flows,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,- Overview of the mobile Identity Engine SDK: https://developer.okta.com/docs/guides/mobile-idx-sdk-overview/android/main/,Platform,,,,"WIC App Developer,Experienced IAM developer"
268,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Enable email magic links during sign-in,,,Enable email magic links during sign-in,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,- Email Magic Links overview: https://developer.okta.com/docs/guides/email-magic-links-overview/aspnet/main/,Language,,Note: Doc is for embedded solutions,,"WIC App Developer,Experienced IAM developer"
267,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Enable device rules,,,Enable device rules,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,- Device Context Overview: https://developer.okta.com/docs/guides/device-context/aspnet/main/,Language,,Note: Doc is for embedded solutions,,"WIC App Developer,Experienced IAM developer"
266,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a more customizable sign-in solution,Enable email magic link during password recovery,,,Enable email magic link during password recovery,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers","Changed the title to something more meaningful. Input constrained devices include Apple TV etc.
MS docs reference: https://learn.microsoft.com/en-us/entra/identity-platform/v2-oauth2-device-code
",Existing doc: changes needed,- Custom password recovery: https://developer.okta.com/docs/guides/oie-embedded-sdk-use-case-custom-pwd-recovery-mfa/aspnet/main/,Language,,Note: Doc is for embedded solutions,,"WIC App Developer,Experienced IAM developer"
463,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,,,,Add a sign-in experience directly with the Direct Authentication API,Guide Hub,,"""Yes, phase 1 version can be a very simple guide hub.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"This group contains all the Direct Auth integration guides. This section was created by pulling on the dimensions of the doc into separate guides in the new IA. This was done for several reasons:

See the ""Notes"" tab on dimension rules.",,,"WIC App Developer,Experienced IAM developer"
650,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,Passwordless sign-in with OTP,,,Add a passwordless sign-in with OTP,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Configure Direct Authentication grant types: https://developer.okta.com/docs/guides/configure-direct-auth-grants/aotp/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
649,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,Sign-in with OTP,,,Add a sign-in with OTP,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Configure Direct Authentication grant types: https://developer.okta.com/docs/guides/configure-direct-auth-grants/bmfaotp/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
651,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,Passwordless sign-in with Okta Verify,,,Add a passwordless sign-in with Okta Verify,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Configure Direct Authentication grant types: https://developer.okta.com/docs/guides/configure-direct-auth-grants/coobov/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
655,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,Sign-in with Okta Verify,,,Add a sign-in with Okta Verify,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,"- Configure Direct Authentication grant types: https://developer.okta.com/docs/guides/configure-direct-auth-grants/dmfaoobov/main/
",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
654,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,Passwordless sign-in with the Phone authenticator,,,Add a passwordless sign-in with the Phone authenticator,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,"- Configure Direct Authentication grant types: https://developer.okta.com/docs/guides/configure-direct-auth-grants/eoobsv/main/
",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
653,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in experience directly with Okta API,Sign-in with the Phone authenticator,,,Add a sign-in with the Phone authenticator,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,"- Configure Direct Authentication grant types: https://developer.okta.com/docs/guides/configure-direct-auth-grants/fmfaoobsv/main/
",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
286,Third review,Robert Nicolo,Main content,Build,Authenticate,Eliminate duplicate factor challenges with AMR,,,,Eliminate duplicate factor challenges with AMR,Integration guide,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Update title
- Update Plant UML flowcharts",Existing doc: changes needed,- Configure AMR claims mapping: https://developer.okta.com/docs/guides/configure-amr-claims-mapping/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
314,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a sign-in solution to an input constrained device (e.g. Apple TV),,,,Add a sign-in solution to an input constrained device (e.g. Apple TV),Integration guide,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- This guide contains reference endpoint information that needs to be stripped out of this guide and placed under the API reference if it doesn't exist.
- Understand which auth solution this is for: redirect, embedded, SDKS, API, or a combination of all three. After we find out reorganize in IA appropriately",Existing doc: changes needed,- Configure Device Authorization Grant Flow: https://developer.okta.com/docs/guides/device-authorization-grant/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
317,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a browser sign-in solution for mobile devices,,,,Add a browser sign-in solution for mobile devices,Integration guide,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Add a intro paragraph specifically stating what scenarios this implementation is used for. When would i use this scenario over direct auth?
- We need to make it clear that this is a Non-interaction code implementation
- Remove ""Native"" and use Mobile instead. ""Native"" is unclear and not inclusive.
- Remove SSO from title to make it less confusing since it's talking about Authenticating

Note: Possibly @Maurice Sharp could take ownership of this ""mobile"" guide
",Existing doc: changes needed,- Configure SSO for Native apps: https://developer.okta.com/docs/guides/configure-native-sso/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
291,Third review,Robert Nicolo,Main content,Build,Authenticate,Share application key credentials across apps,,,,Share application key credentials across apps,Integration guide,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Update title
- Need to understand whether i can use this implementation for redirect, embedded, direct auth, etc. 
    - After we find out, we'll update the keywords accordingly and potentially update the guide placement.",Existing doc: changes needed,- Share application key credentials for IdPs across Apps: https://developer.okta.com/docs/guides/sharing-cert/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
420,Third review,Robert Nicolo,Main content,Build,Authenticate,Logout,,,,Logout,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
287,Third review,Robert Nicolo,Main content,Build,Authenticate,Logout,Logout user from all SSO applications,,,Logout user from all SSO applications,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
656,Third review,Robert Nicolo,Main content,Build,Authenticate,Logout,Logout user from all SSO applications,OIDC,,Logout user from all SSO applications using OIDC,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers","- Split out the OIDC/SAML page dimension into separate guides
- Update title",Existing doc: changes needed,- Configure Single Logout: https://developer.okta.com/docs/guides/single-logout/openidconnect/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
657,Third review,Robert Nicolo,Main content,Build,Authenticate,Logout,Logout user from all SSO applications,SAML,,Logout user from all SSO applications using SAML,Integration guide,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers","- Split out the OIDC/SAML page dimension into separate guides
- Update title",Existing doc: changes needed,- Configure Single Logout: https://developer.okta.com/docs/guides/single-logout/saml2/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
421,Third review,Robert Nicolo,Main content,Build,Authenticate,Logout,Build Universal Logout for your app,,,Build Universal Logout for your app,Explanation,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Update title
- Error codes belong in a reference doc not in this doc cc: @Dan Maharry",Existing doc: changes needed,- Build Universal Logout for your app: https://developer.okta.com/docs/guides/oin-universal-logout-overview/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
626,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a SAML sign-in solution,,,,Add a SAML sign-in solution,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
628,Third review,Robert Nicolo,Main content,Build,Authenticate,Add a SAML sign-in solution,Add a sign-in solution using Java and Spring Security,,,Add a sign-in solution using Java and Spring Security,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",- Update title,Existing doc: changes needed,"- Spring Security SAML: https://developer.okta.com/code/java/spring_security_saml/
CC @Dan Maharry- this doc was taken from the ""SDK"" section",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
347,Third review,Robert Nicolo,Main content,Build,Secure,,,,,Secure,Guide Hub,,"""Yes, phase 1 version can be a very simple guide hub.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
407,Third review,Robert Nicolo,Main content,Build,Secure,Secure your tokens,,,,Secure your tokens,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
346,Third review,Robert Nicolo,Main content,Build,Secure,Secure your tokens,Validate your access tokens,,,Validate your access tokens,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",- Update title,Existing doc: changes needed,"- Validate Access Tokens: https://developer.okta.com/docs/guides/validate-access-tokens/dotnet/main/
",Language,"Placed under ""Secure"" because it is verifying the Token",,,"WIC App Developer,Experienced IAM developer"
348,Third review,Robert Nicolo,Main content,Build,Secure ,Secure your tokens,Validate your ID tokens,,,Validate your ID tokens,How-to ,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Convert this doc from an ""explanation"" to a how-to. Currently, it reads like an explanation but it's not specific like a how-to
- Update title",Existing doc: changes needed,"- Validate ID Tokens: https://developer.okta.com/docs/guides/validate-id-tokens/main/
- ",No doc dimension,"Placed under ""Secure"" because it is verifying the Token",,,"WIC App Developer,Experienced IAM developer"
459,Third review,Robert Nicolo,Main content,Build,Secure,Secure your tokens,Rotate your token signing keys,,,Rotate your token signing keys,Explanation,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Update title
- Suggest changes include - detail how to rotate your keys and make a distinction between  tokens for Okta APIS and tokens for your own APIS - it's confusing right now in this doc",Existing doc: changes needed,"- Key rotation: https://developer.okta.com/docs/concepts/key-rotation/
",No doc dimension,"
",,,"WIC App Developer,Experienced IAM developer"
324,Third review,Robert Nicolo,Main content,Build,Secure,Rotate your app's client secrets,,,,Rotate your app's client secrets,How-to ,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,"- Client secret rotation and key management: https://developer.okta.com/docs/guides/client-secret-rotation-key/main/
",No doc dimension,"- No specific user research obtained for client secrets
- Client secrets are used in Authentication hence the reason why they are in Authenticate",,,"WIC App Developer,Experienced IAM developer"
327,Third review,Robert Nicolo,Main content,Build,Secure,Secure your Okta API authentication with JWTs ,,,,Secure your Okta API authentication with JWTs ,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,"- Build a JWT for Client Authentication: https://developer.okta.com/docs/guides/build-self-signed-jwt/java/main/
",Language,,,,"WIC App Developer,Experienced IAM developer"
426,Third review,Robert Nicolo,Main content,Build,Secure,Add a third-party risk provider,,,,Add a third-party risk provider,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",- Update title,Existing doc: changes needed,- Third-party risk provider integration: https://developer.okta.com/docs/guides/third-party-risk-integration/main/,No doc dimension,,"This document shows how to configure a third party provider using the API and create a simple event log. I think we could make this use case more robust and describe a better more detailed use case.

This risk engine described in this doc  can be useful in both secure and system log. A link will be in the report and monitor section as well. ",,"WIC App Developer,Experienced IAM developer"
470,Third review,Robert Nicolo,Main content,Build,Manage user sessions,Session management best practices,,,,Session management best practices,Explanation,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,- Session management with Okta: https://developer.okta.com/docs/concepts/session/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
310,Third review,Robert Nicolo,Main content,Build,Manage user sessions,Manage your user sessions,,,,Manage your user sessions,Explanation,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Update title
- This is a useful article that is currently in upgrades. It makes more sense to be here and linked from the upgrade section.
- Move this upgrade doc to this section and update the content to better fit this new section",Existing doc: changes needed,"- Understand how sessions work after the upgrade: https://developer.okta.com/docs/guides/oie-upgrade-sessions-api/main/
",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
341,Third review,Robert Nicolo,Main content,Build,Manage user sessions,Retrieving the cookie session in the Classic Engine,,,,Retrieving the cookie session in the Classic Engine,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",- Update title,Existing doc: changes needed,- Work with Okta session cookies: https://developer.okta.com/docs/guides/session-cookie/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
123,Third review,Robert Nicolo,Main content,Build,Manage user sessions,Keep a user sign-in session alive with a refresh token,,,,Keep a user sign-in session alive with a refresh token,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
338,Third review,Robert Nicolo,Main content,Build,Manage user sessions,Keep a user sign-in session alive with a refresh token,Overview and configuration,,,Overview and configuration,Integration guide,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Update title
Pull overview and configuration from the existing doc into this doc",Existing doc: changes needed,- Refresh access tokens: https://developer.okta.com/docs/guides/refresh-tokens/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
339,Third review,Robert Nicolo,Main content,Build,Manage user sessions,Keep a user sign-in session alive with a refresh token,How to implement in your app,,,How to implement in your app,Integration guide,,"""Yes, since it's a new doc pulling from existing content""",TBD,"No, targetted towards developers",Pull the content from both existing docs describing how to implement in your app into this doc,New doc with new content but also pulling from existing content,"Merge both these docs into one new doc.
- Refresh the access and ID tokens: https://developer.okta.com/docs/guides/oie-embedded-common-refresh-tokens/android/main/ 
- Refresh access tokens: https://developer.okta.com/docs/guides/refresh-tokens/main/",Language,,,,"WIC App Developer,Experienced IAM developer"
273,Third review,Robert Nicolo,Main content,Build,Manage access,,,,,Manage access,Guide Hub,,"""Yes, phase 1 version can be a very simple guide hub.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,Scope includes managing user and application access to resources.,,,"WIC App Developer,Experienced IAM developer"
451,Third review,Robert Nicolo,Main content,Build,Manage access,Manage user access to your API Service,,,,Manage user access to your API Service,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
452,Third review,Robert Nicolo,Main content,Build,Manage access,Manage user access to your API Service,Overview,,,Overview,Explanation,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","This document needs to be thoroughly reexamined. We need to remove content not related to API Access Management such as content that discusses Web apps and OIDC. Also, we need a complete answer to what this doc is trying to accomplish.",Existing doc: changes needed,- API Access Management with Okta: https://developer.okta.com/docs/concepts/api-access-management/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
418,Third review,Robert Nicolo,Main content,Build,Manage access,Manage user access to your API Service,Add OAuth access token support to your Rest API,,,Add OAuth access token support to your Rest API,Integration guide,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,"- Protect your API endpoints: https://developer.okta.com/docs/guides/protect-your-api/aspnetcore3/main/
",Language,,,"A majority of oktane customers placed ""API Service Integration"" under ""Authentication for service apps"" ","WIC App Developer,Experienced IAM developer"
422,Third review,Robert Nicolo,Main content,Build,Manage access,Access Okta APIs using OAuth,,,,Access Okta APIs using OAuth,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
424,Third review,Robert Nicolo,Main content,Build,Manage access,Access Okta APIs using OAuth,Access Okta APIs with user's credentials,,,Access Okta APIs with user's credentials,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Implement OAuth for Okta: https://developer.okta.com/docs/guides/implement-oauth-for-okta/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
425,Third review,Robert Nicolo,Main content,Build,Manage access,Access Okta APIs using OAuth,Access Okta APIs with machine credentials,,,Access Okta APIs with machine credentials,How-to: developer focused,,"""Yes, since it's a new doc pulling from existing content""",TBD,"No, targetted towards developers",Content is derived from  two guides. Merge content from both to create this doc.,New doc with new content but also pulling from existing content,"- Implement OAuth for Okta with a service app: https://developer.okta.com/docs/guides/implement-oauth-for-okta-serviceapp/main/
- Build an API service integration: https://developer.okta.com/docs/guides/build-api-integration/main/",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
423,Third review,Robert Nicolo,Main content,Build,Manage access,Access Okta APIs using OAuth,Bind access tokens to a particular client,,,Bind access tokens to a particular client,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers","- Note: Dimensioning this page based on resource server type is an acceptable page dimension. See exception rules.
- Update title",Existing doc: changes needed,- Configure OAuth 2.0 Demonstrating Proof-of-Possession: https://developer.okta.com/docs/guides/dpop/nonoktaresourceserver/main/,No doc dimension,Is this topic only specific to Okta API calls?,,,"WIC App Developer,Experienced IAM developer"
277,Third review,Robert Nicolo,Main content,Build,Manage access,Limit scopes for particular clients,,,,Limit scopes for particular clients,How-to: developer focused,,"""Yes, but we postpoine guide breakup to a later phase.""",TBD,"No, targetted towards developers",See existing content link for more details.,New doc with new content but also pulling from existing content,"- The ""Limit which scopes some clients can access"" section in Configure an access policy: https://developer.okta.com/docs/guides/configure-access-policy/main/",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
276,Third review,Robert Nicolo,Main content,Build,Manage access,Configure a custom access token lifetime,,,,Configure a custom access token lifetime,How-to: developer focused,,"""Yes, but we postpoine guide breakup to a later phase.""",TBD,"No, targetted towards developers",See existing content link for more details.,New doc with new content but also pulling from existing content,"- The ""Configure a custom access token lifetime per client"" section in Configure an access policy: https://developer.okta.com/docs/guides/configure-access-policy/main/",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
275,Third review,Robert Nicolo,Main content,Build,Manage access,Require an additional authenticator for users in a group,,,,Require an additional authenticator for users in a group,How-to: developer focused,,"""Yes, but we postpoine guide breakup to a later phase.""",TBD,"No, targetted towards developers",See existing content link for more details.,New doc with new content but also pulling from existing content,"- Configure a global session policy and authentication policies: https://developer.okta.com/docs/guides/configure-signon-policy/main/
    - The intro section is not included here but in a separate guide here: https://docs.google.com/document/d/1Crp_KOmCPqiA3dWuCD5Q3jyx_wCussVFLVhNoPufxnw/edit
",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
274,Third review,Robert Nicolo,Main content,Build,Manage access,Require an additional authenticator when outside of US,,,,Require an additional authenticator when outside of US,How-to: developer focused,,"""Yes, but we postpoine guide breakup to a later phase.""",TBD,"No, targetted towards developers",See existing content link for more details.,New doc with new content but also pulling from existing content,"- Configure a global session policy and authentication policies: https://developer.okta.com/docs/guides/configure-signon-policy/main/
    - The intro section is not included here but in a separate guide here: https://docs.google.com/document/d/1Crp_KOmCPqiA3dWuCD5Q3jyx_wCussVFLVhNoPufxnw/edit",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
279,Third review,Robert Nicolo,Main content,Build,Manage access,Test your access configurations with an simulation,,,,Test your access configurations with an simulation,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Test your policies with access simulations: https://developer.okta.com/docs/guides/policy-simulation/main/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
323,Third review,Robert Nicolo,Main content,Build,Manage access,Enable a user consent dialog for an app,,,,Enable a user consent dialog for an app,How-to: developer focused,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- This guide needs to main things:
    - Content answer ""When would I use this user consent functionality over other methods?"" At a high level it seems clunky to use this method to manage access vs other role based approaches.
    - Is this method still relevant with FGA now  available? 
    - A flowchart is needed describing the flow.",Existing doc: changes needed,"- Request user consent: https://developer.okta.com/docs/guides/request-user-consent/main/
",No doc dimension,"This article discusses how to enable a consent dialog for an app wanting permission to access certain resources
",,,"WIC App Developer,Experienced IAM developer"
325,Third review,Robert Nicolo,Main content,Build,Manage access,Set up delegated access to a resource,,,,Set up delegated access to a resource,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update title,Existing doc: changes needed,- Set up OAuth 2.0 On-Behalf-Of Token Exchange: https://developer.okta.com/docs/guides/set-up-token-exchange/main/,No doc dimension,"This article was placed under ""Manage access"" because it discuss delegated ""access"" to other apps.
",,,"WIC App Developer,Experienced IAM developer"
